id,name,party,sector,country
UL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,Linke,Politik,Deutschland
CS,Constanze Stelzenmüller,,Recht,Deutschland
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schlögel,,Historiker,Deutschland
LM,Ljudmyla Melnyk,,Politik,Ukraine
KD,Kristina Dunz,,Journalismus,Deutschland
EL,Egils Levits,,Politik,Lettland
AB,Annalena Baerbock,Grüne,Politik,Deutschland
FT,Frans Timmermans,,Politik,Niederlande
AM,Andrij Melnyk,,Politik,Ukraine
AGL,Alexander Graf Lamsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,,Militär,Deutschland
RH,Robert Habeck,Grüne,Politik,Deutschland
CM,Claudia Major,,Politik,Deutschland
KP,Katja Petrowskaja,,Journalismus,Deutschland_Ukraine
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
CLM,Christine Lambrecht,SPD,Politik,Deutschland
SB,Stefanie Bapst,,Politik,Deutschland
CH,Christoph Heusgen,,Experte,Deutschland
MW,Marina Weisband,,Publizistik,Deutschland_Ukraine
